accuracy_p1,accuracy_p2,accuracy_p3,accuracy_p4,avg_earned_ratio_p1,avg_earned_ratio_p2,avg_earned_ratio_p3,avg_earned_ratio_p4,avg_earned_score_p1,avg_earned_score_p2,avg_earned_score_p3,avg_earned_score_p4,avg_problem_score_p1,avg_problem_score_p2,avg_problem_score_p3,avg_problem_score_p4,correct_submissions_p1,correct_submissions_p2,correct_submissions_p3,correct_submissions_p4,course_watch_ratio_p1,course_watch_ratio_p2,course_watch_ratio_p3,course_watch_ratio_p4,coverage_ratio_p1,coverage_ratio_p2,coverage_ratio_p3,coverage_ratio_p4,days_until_first_watch_p1,days_until_first_watch_p2,days_until_first_watch_p3,days_until_first_watch_p4,earned_per_attempt_p1,earned_per_attempt_p2,earned_per_attempt_p3,earned_per_attempt_p4,exercises_touched_p1,exercises_touched_p2,exercises_touched_p3,exercises_touched_p4,fast_forward_per_watch_p1,fast_forward_per_watch_p2,fast_forward_per_watch_p3,fast_forward_per_watch_p4,interactions_per_video_p1,interactions_per_video_p2,interactions_per_video_p3,interactions_per_video_p4,max_watch_point_ratio_p1,max_watch_point_ratio_p2,max_watch_point_ratio_p3,max_watch_point_ratio_p4,problems_done_p1,problems_done_p2,problems_done_p3,problems_done_p4,problems_per_day_p1,problems_per_day_p2,problems_per_day_p3,problems_per_day_p4,rewind_per_watch_p1,rewind_per_watch_p2,rewind_per_watch_p3,rewind_per_watch_p4,sent_1_count_p1,sent_1_count_p2,sent_1_count_p3,sent_1_count_p4,sent_2_count_p1,sent_2_count_p2,sent_2_count_p3,sent_2_count_p4,sent_3_count_p1,sent_3_count_p2,sent_3_count_p3,sent_3_count_p4,sessions_per_video_p1,sessions_per_video_p2,sessions_per_video_p3,sessions_per_video_p4,speed_changes_per_session_p1,speed_changes_per_session_p2,speed_changes_per_session_p3,speed_changes_per_session_p4,total_attempts_p1,total_attempts_p2,total_attempts_p3,total_attempts_p4,total_comments_p1,total_comments_p2,total_comments_p3,total_comments_p4,total_earned_score_p1,total_earned_score_p2,total_earned_score_p3,total_earned_score_p4,weighted_watch_ratio_p1,weighted_watch_ratio_p2,weighted_watch_ratio_p3,weighted_watch_ratio_p4,combined_emb_0,combined_emb_1,combined_emb_2,combined_emb_3,combined_emb_4,combined_emb_5,combined_emb_6,combined_emb_7,combined_emb_8,combined_emb_9,combined_emb_10,combined_emb_11,combined_emb_12,combined_emb_13,combined_emb_14,combined_emb_15,satisfaction_label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8719317615032196,-0.7753822803497314,-2.770030617713928,-3.287413477897644,3.074897646903992,-1.9222272634506223,-1.8826218247413635,1.1946247816085815,3.5604435205459595,0.6676128208637238,-1.3382319808006289,-2.70458459854126,-4.411982774734497,-1.4393965601921082,-2.7368682622909546,-3.0806334018707275,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886169388890266,-2.206198215484619,-1.943352580070496,-4.587348937988281,0.6935700923204422,-0.3988881409168243,-2.653234899044037,3.1669156551361084,5.202573299407959,-0.8892407417297363,-0.748052105307579,-3.0974910259246826,-2.5144916772842407,-2.036037862300873,-2.6341084241867065,-1.245157152414322,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8517539799213409,-0.8911480009555817,-2.7940351963043213,-3.2585893869400024,2.990389585494995,-1.949023962020874,-1.768655687570572,1.2220056653022766,3.785507917404175,0.6027969717979431,-1.469879329204559,-2.8252817392349243,-4.410120487213135,-1.4095281958580017,-2.771340847015381,-3.201570749282837,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8919995129108429,-0.7840288281440735,-2.8012501001358032,-3.187613248825073,2.9343061447143555,-1.7905890941619873,-1.8048748970031736,1.1849119067192078,3.619393229484558,0.601338118314743,-1.419885754585266,-2.7129710912704468,-4.360007405281067,-1.3916890621185305,-2.7040544748306274,-3.0935654640197754,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180797629058361,-2.168323338031769,-1.9656403064727783,-4.30509626865387,0.94765242934227,-0.4528835266828537,-2.409266173839569,2.9439698457717896,5.036771893501282,-0.7849138081073761,-0.7513537257909775,-3.033482074737549,-2.7568576335906982,-2.2648478746414185,-2.8113268613815308,-1.0082571804523468,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877484530210495,-2.067981719970703,-1.9576358795166016,-4.421857118606567,0.9265212714672088,-0.26822379976511,-2.4500020146369934,3.021884083747864,4.996347546577454,-0.8494816720485687,-0.6682884842157364,-3.039693236351013,-2.669333577156067,-2.316604256629944,-2.8025494813919067,-0.968072921037674,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2248360738158226,-2.065778374671936,-1.8557709455490112,-4.44726300239563,0.995056301355362,-0.3552426192909479,-2.690309762954712,2.8995044231414795,5.041875839233398,-0.7575538456439972,-0.6474918276071548,-2.9306890964508057,-2.7029144763946533,-2.3484246730804443,-2.8880903720855717,-1.030865341424942,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.832321971654892,-0.7580167651176453,-2.8141084909439087,-3.2361146211624146,2.985990285873413,-1.8836116790771484,-1.8987745642662048,1.1551125049591064,3.6873098611831674,0.7079277336597443,-1.375109314918518,-2.6838866472244263,-4.506221532821655,-1.3858402371406555,-2.7219210863113403,-3.202642679214477,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8680539429187775,-0.8266966342926025,-2.827353596687317,-3.2397148609161377,2.8744066953659058,-2.016551971435547,-2.018795132637024,1.2723950147628784,3.7998746633529663,0.7109728157520294,-1.4134109020233154,-2.689208030700684,-4.405411005020142,-1.3963250517845154,-2.612027406692505,-3.259439468383789,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8320106863975525,-0.7859060764312744,-2.918285846710205,-3.31342089176178,3.023307681083679,-1.809454202651977,-1.8774799704551697,1.165711760520935,3.676463961601257,0.6929499506950378,-1.4242560267448423,-2.758417010307312,-4.383419513702393,-1.5177096128463743,-2.7433321475982666,-3.182985663414001,1.0
